"country","col.belgium","col.britain","col.france","col.germany","col.italy","col.netherlands","col.portugal","col.spain","colstart.belgium_max","colstart.britain_max","colstart.france_max","colstart.germany_max","colstart.italy_max","colstart.netherlands_max","colstart.portugal_max","colstart.spain_max","colend.belgium_max","colend.britain_max","colend.france_max","colend.germany_max","colend.italy_max","colend.netherlands_max","colend.portugal_max","colend.spain_max","colstart.belgium_mean","colstart.britain_mean","colstart.france_mean","colstart.germany_mean","colstart.italy_mean","colstart.netherlands_mean","colstart.portugal_mean","colstart.spain_mean","colend.belgium_mean","colend.britain_mean","colend.france_mean","colend.germany_mean","colend.italy_mean","colend.netherlands_mean","colend.portugal_mean","colend.spain_mean"
"Brunei",0,1,0,0,0,0,0,0,NA,1888,NA,NA,NA,NA,NA,NA,NA,1984,NA,NA,NA,NA,NA,NA,NA,1888,NA,NA,NA,NA,NA,NA,NA,1984,NA,NA,NA,NA,NA,NA
"Bulgaria",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso",0,0,1,0,0,0,0,0,NA,NA,1895,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1895,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Burundi",1,0,0,1,0,0,0,0,1923,NA,NA,1899,NA,NA,NA,NA,1962,NA,NA,1922,NA,NA,NA,NA,1922,NA,NA,1894,NA,NA,NA,NA,1962,NA,NA,1922,NA,NA,NA,NA
"Cambodia",0,0,1,0,0,0,0,0,NA,NA,1884,NA,NA,NA,NA,NA,NA,NA,1953,NA,NA,NA,NA,NA,NA,NA,1868,NA,NA,NA,NA,NA,NA,NA,1952,NA,NA,NA,NA,NA
"Cameroon",0,1,1,1,0,0,0,0,NA,1922,1922,1884,NA,NA,NA,NA,NA,1961,1960,1916,NA,NA,NA,NA,NA,1922,1922,1884,NA,NA,NA,NA,NA,1961,1960,1915,NA,NA,NA,NA
"Canada",0,1,1,0,0,0,0,0,NA,1763,1608,NA,NA,NA,NA,NA,NA,1919,1763,NA,NA,NA,NA,NA,NA,1737,1608,NA,NA,NA,NA,NA,NA,1877,1763,NA,NA,NA,NA,NA
"Cape Verde",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1462,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1462,NA,NA,NA,NA,NA,NA,NA,1975,NA
"Central African Republic",0,0,1,0,0,0,0,0,NA,NA,1906,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1898,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Chad",0,0,1,0,0,0,0,0,NA,NA,1910,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1899,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
